# First line is two numbers 
#     First value is '2', it means 'histogram mode'
#     Second value is 'Emin' of the histogram
# Other lines : 2 columns. 1) energy 2) Bin Width 2) frequency (nb divided by NbEvent)
# Number of bins = 1000
# Content below the first bin: 0
# Content above the last  bin: 0
# Number of events: 2998998
2 0
0.00055 0.0011 241
0.00165 0.0011 352
0.00275 0.0011 370
0.00385 0.0011 346
0.00495 0.0011 350
0.00605 0.0011 355
0.00715 0.0011 388
0.00825 0.0011 354
0.00935 0.0011 370
0.01045 0.0011 357
0.01155 0.0011 395
0.01265 0.0011 396
0.01375 0.0011 405
0.01485 0.0011 412
0.01595 0.0011 392
0.01705 0.0011 392
0.01815 0.0011 427
0.01925 0.0011 381
0.02035 0.0011 370
0.02145 0.0011 407
0.02255 0.0011 392
0.02365 0.0011 419
0.02475 0.0011 397
0.02585 0.0011 396
0.02695 0.0011 403
0.02805 0.0011 384
0.02915 0.0011 421
0.03025 0.0011 424
0.03135 0.0011 386
0.03245 0.0011 383
0.03355 0.0011 407
0.03465 0.0011 374
0.03575 0.0011 402
0.03685 0.0011 405
0.03795 0.0011 398
0.03905 0.0011 371
0.04015 0.0011 384
0.04125 0.0011 354
0.04235 0.0011 365
0.04345 0.0011 410
0.04455 0.0011 403
0.04565 0.0011 375
0.04675 0.0011 395
0.04785 0.0011 421
0.04895 0.0011 414
0.05005 0.0011 408
0.05115 0.0011 392
0.05225 0.0011 371
0.05335 0.0011 366
0.05445 0.0011 397
0.05555 0.0011 391
0.05665 0.0011 391
0.05775 0.0011 350
0.05885 0.0011 391
0.05995 0.0011 387
0.06105 0.0011 382
0.06215 0.0011 380
0.06325 0.0011 397
0.06435 0.0011 403
0.06545 0.0011 376
0.06655 0.0011 377
0.06765 0.0011 375
0.06875 0.0011 364
0.06985 0.0011 398
0.07095 0.0011 370
0.07205 0.0011 380
0.07315 0.0011 416
0.07425 0.0011 385
0.07535 0.0011 406
0.07645 0.0011 347
0.07755 0.0011 394
0.07865 0.0011 382
0.07975 0.0011 363
0.08085 0.0011 396
0.08195 0.0011 373
0.08305 0.0011 383
0.08415 0.0011 366
0.08525 0.0011 385
0.08635 0.0011 389
0.08745 0.0011 360
0.08855 0.0011 362
0.08965 0.0011 346
0.09075 0.0011 404
0.09185 0.0011 399
0.09295 0.0011 373
0.09405 0.0011 371
0.09515 0.0011 370
0.09625 0.0011 389
0.09735 0.0011 378
0.09845 0.0011 344
0.09955 0.0011 394
0.10065 0.0011 392
0.10175 0.0011 371
0.10285 0.0011 351
0.10395 0.0011 380
0.10505 0.0011 386
0.10615 0.0011 396
0.10725 0.0011 362
0.10835 0.0011 351
0.10945 0.0011 364
0.11055 0.0011 360
0.11165 0.0011 359
0.11275 0.0011 356
0.11385 0.0011 378
0.11495 0.0011 348
0.11605 0.0011 387
0.11715 0.0011 387
0.11825 0.0011 381
0.11935 0.0011 338
0.12045 0.0011 391
0.12155 0.0011 386
0.12265 0.0011 376
0.12375 0.0011 358
0.12485 0.0011 389
0.12595 0.0011 380
0.12705 0.0011 356
0.12815 0.0011 350
0.12925 0.0011 346
0.13035 0.0011 385
0.13145 0.0011 379
0.13255 0.0011 338
0.13365 0.0011 330
0.13475 0.0011 362
0.13585 0.0011 364
0.13695 0.0011 353
0.13805 0.0011 338
0.13915 0.0011 342
0.14025 0.0011 352
0.14135 0.0011 417
0.14245 0.0011 371
0.14355 0.0011 341
0.14465 0.0011 349
0.14575 0.0011 350
0.14685 0.0011 355
0.14795 0.0011 341
0.14905 0.0011 351
0.15015 0.0011 354
0.15125 0.0011 398
0.15235 0.0011 344
0.15345 0.0011 338
0.15455 0.0011 389
0.15565 0.0011 358
0.15675 0.0011 346
0.15785 0.0011 384
0.15895 0.0011 395
0.16005 0.0011 360
0.16115 0.0011 316
0.16225 0.0011 350
0.16335 0.0011 337
0.16445 0.0011 365
0.16555 0.0011 346
0.16665 0.0011 340
0.16775 0.0011 399
0.16885 0.0011 377
0.16995 0.0011 390
0.17105 0.0011 344
0.17215 0.0011 373
0.17325 0.0011 349
0.17435 0.0011 376
0.17545 0.0011 394
0.17655 0.0011 376
0.17765 0.0011 387
0.17875 0.0011 432
0.17985 0.0011 412
0.18095 0.0011 448
0.18205 0.0011 393
0.18315 0.0011 406
0.18425 0.0011 415
0.18535 0.0011 416
0.18645 0.0011 411
0.18755 0.0011 402
0.18865 0.0011 408
0.18975 0.0011 408
0.19085 0.0011 383
0.19195 0.0011 361
0.19305 0.0011 358
0.19415 0.0011 399
0.19525 0.0011 377
0.19635 0.0011 373
0.19745 0.0011 390
0.19855 0.0011 351
0.19965 0.0011 388
0.20075 0.0011 370
0.20185 0.0011 407
0.20295 0.0011 416
0.20405 0.0011 387
0.20515 0.0011 364
0.20625 0.0011 395
0.20735 0.0011 385
0.20845 0.0011 382
0.20955 0.0011 386
0.21065 0.0011 362
0.21175 0.0011 351
0.21285 0.0011 345
0.21395 0.0011 359
0.21505 0.0011 368
0.21615 0.0011 362
0.21725 0.0011 387
0.21835 0.0011 392
0.21945 0.0011 381
0.22055 0.0011 378
0.22165 0.0011 355
0.22275 0.0011 384
0.22385 0.0011 389
0.22495 0.0011 347
0.22605 0.0011 395
0.22715 0.0011 371
0.22825 0.0011 366
0.22935 0.0011 410
0.23045 0.0011 436
0.23155 0.0011 375
0.23265 0.0011 389
0.23375 0.0011 396
0.23485 0.0011 351
0.23595 0.0011 376
0.23705 0.0011 360
0.23815 0.0011 388
0.23925 0.0011 355
0.24035 0.0011 361
0.24145 0.0011 395
0.24255 0.0011 376
0.24365 0.0011 395
0.24475 0.0011 377
