# First line is two numbers 
#     First value is '2', it means 'histogram mode'
#     Second value is 'Emin' of the histogram
# Other lines : 2 columns. 1) energy 2) Bin Width 2) frequency (nb divided by NbEvent)
# Number of bins = 1000
# Content below the first bin: 0
# Content above the last  bin: 0
# Number of events: 2998998
2 0
0.00055 0.0011 0
0.00165 0.0011 0
0.00275 0.0011 0
0.00385 0.0011 0
0.00495 0.0011 0
0.00605 0.0011 0
0.00715 0.0011 0.00755485
0.00825 0.0011 0
0.00935 0.0011 0
0.01045 0.0011 0
0.01155 0.0011 0
0.01265 0.0011 0
0.01375 0.0011 0
0.01485 0.0011 0
0.01595 0.0011 0
0.01705 0.0011 0
0.01815 0.0011 0
0.01925 0.0011 0
0.02035 0.0011 0.0207839
0.02145 0.0011 0
0.02255 0.0011 0
0.02365 0.0011 0.023803
0.02475 0.0011 0
0.02585 0.0011 0.0258238
0.02695 0.0011 0.0273868
0.02805 0.0011 0.0285859
0.02915 0.0011 0.0290178
0.03025 0.0011 0
0.03135 0.0011 0
0.03245 0.0011 0.0320305
0.03355 0.0011 0.0332166
0.03465 0.0011 0
0.03575 0.0011 0
0.03685 0.0011 0.0740718
0.03795 0.0011 0
0.03905 0.0011 0.0783425
0.04015 0.0011 0.0812318
0.04125 0.0011 0.0820493
0.04235 0.0011 0.0420112
0.04345 0.0011 0.0789808
0.04455 0.0011 0.088715
0.04565 0.0011 0.095904
0.04675 0.0011 0.0465305
0.04785 0.0011 0.191903
0.04895 0.0011 0.244292
0.05005 0.0011 0.300339
0.05115 0.0011 0.257381
0.05225 0.0011 0.188676
0.05335 0.0011 0.373504
0.05445 0.0011 0.33261
0.05555 0.0011 0.39941
0.05665 0.0011 0.739063
0.05775 0.0011 0.980997
0.05885 0.0011 1.06834
0.05995 0.0011 1.09411
0.06105 0.0011 1.65021
0.06215 0.0011 1.94125
0.06325 0.0011 1.91377
0.06435 0.0011 2.86634
0.06545 0.0011 2.77663
0.06655 0.0011 3.35857
0.06765 0.0011 3.46342
0.06875 0.0011 5.51269
0.06985 0.0011 5.14571
0.07095 0.0011 6.64478
0.07205 0.0011 7.45933
0.07315 0.0011 8.40781
0.07425 0.0011 8.84303
0.07535 0.0011 10.0386
0.07645 0.0011 11.2678
0.07755 0.0011 12.088
0.07865 0.0011 13.8538
0.07975 0.0011 15.3929
0.08085 0.0011 17.1063
0.08195 0.0011 19.5065
0.08305 0.0011 19.5422
0.08415 0.0011 23.9867
0.08525 0.0011 23.3738
0.08635 0.0011 23.8939
0.08745 0.0011 26.4177
0.08855 0.0011 27.297
0.08965 0.0011 29.6997
0.09075 0.0011 32.6632
0.09185 0.0011 37.286
0.09295 0.0011 38.2781
0.09405 0.0011 36.0098
0.09515 0.0011 43.0152
0.09625 0.0011 44.3188
0.09735 0.0011 46.9029
0.09845 0.0011 47.2511
0.09955 0.0011 48.924
0.10065 0.0011 52.5194
0.10175 0.0011 54.0574
0.10285 0.0011 54.1824
0.10395 0.0011 57.9563
0.10505 0.0011 60.7012
0.10615 0.0011 62.2127
0.10725 0.0011 68.1277
0.10835 0.0011 67.9072
0.10945 0.0011 75.6316
0.11055 0.0011 74.2166
0.11165 0.0011 78.1142
0.11275 0.0011 79.1378
0.11385 0.0011 81.9921
0.11495 0.0011 83.9663
0.11605 0.0011 86.5565
0.11715 0.0011 82.8034
0.11825 0.0011 85.5717
0.11935 0.0011 95.8582
0.12045 0.0011 92.2109
0.12155 0.0011 93.2754
0.12265 0.0011 89.6031
0.12375 0.0011 100.429
0.12485 0.0011 92.833
0.12595 0.0011 98.256
0.12705 0.0011 98.8454
0.12815 0.0011 95.5863
0.12925 0.0011 100.714
0.13035 0.0011 98.5
0.13145 0.0011 94.4449
0.13255 0.0011 103.708
0.13365 0.0011 103.637
0.13475 0.0011 101.362
0.13585 0.0011 98.387
0.13695 0.0011 98.5522
0.13805 0.0011 101.572
0.13915 0.0011 95.2177
0.14025 0.0011 100.274
0.14135 0.0011 101.81
0.14245 0.0011 98.1908
0.14355 0.0011 103.019
0.14465 0.0011 103.719
0.14575 0.0011 100.64
0.14685 0.0011 105.13
0.14795 0.0011 105.152
0.14905 0.0011 100.188
0.15015 0.0011 111.144
0.15125 0.0011 98.4891
0.15235 0.0011 104.037
0.15345 0.0011 111.176
0.15455 0.0011 100.638
0.15565 0.0011 99.5097
0.15675 0.0011 102.398
0.15785 0.0011 101.85
0.15895 0.0011 99.6356
0.16005 0.0011 104.846
0.16115 0.0011 104.207
0.16225 0.0011 100.712
0.16335 0.0011 100.178
0.16445 0.0011 101.597
0.16555 0.0011 102.975
0.16665 0.0011 105.806
0.16775 0.0011 103.493
0.16885 0.0011 108.725
0.16995 0.0011 110.036
0.17105 0.0011 108.926
0.17215 0.0011 113.97
0.17325 0.0011 114.067
0.17435 0.0011 117.295
0.17545 0.0011 113.599
