# First line is two numbers 
#     First value is '2', it means 'histogram mode'
#     Second value is 'Emin' of the histogram
# Other lines : 2 columns. 1) energy 2) Bin Width 2) frequency (nb divided by NbEvent)
# Number of bins = 1000
# Content below the first bin: 0
# Content above the last  bin: 0
# Number of events: 2998258
2 0
0.00055 0.0011 0
0.00165 0.0011 0
0.00275 0.0011 0
0.00385 0.0011 0.00033149
0.00495 0.0011 0
0.00605 0.0011 0
0.00715 0.0011 0
0.00825 0.0011 0
0.00935 0.0011 0
0.01045 0.0011 0
0.01155 0.0011 0
0.01265 0.0011 0.000105975
0.01375 0.0011 0
0.01485 0.0011 0.00175191
0.01595 0.0011 0
0.01705 0.0011 0
0.01815 0.0011 0.00240353
0.01925 0.0011 0
0.02035 0.0011 0.0152274
0.02145 0.0011 0
0.02255 0.0011 0
0.02365 0.0011 0
0.02475 0.0011 0
0.02585 0.0011 0
0.02695 0.0011 0
0.02805 0.0011 0
0.02915 0.0011 0.00581953
0.03025 0.0011 0.00619093
0.03135 0.0011 0.241529
0.03245 0.0011 0.140393
0.03355 0.0011 0
0.03465 0.0011 0
0.03575 0.0011 0.323071
0.03685 0.0011 0.697882
0.03795 0.0011 0.352847
0.03905 0.0011 0
0.04015 0.0011 0
0.04125 0.0011 0
0.04235 0.0011 0
0.04345 0.0011 0.356126
0.04455 0.0011 0
0.04565 0.0011 0.914652
0.04675 0.0011 0.508822
0.04785 0.0011 3.56899
0.04895 0.0011 2.094
0.05005 0.0011 0.200716
0.05115 0.0011 0.43163
0.05225 0.0011 2.00827
0.05335 0.0011 2.75642
0.05445 0.0011 7.22161
0.05555 0.0011 6.5189
0.05665 0.0011 7.01937
0.05775 0.0011 27.7747
0.05885 0.0011 15.8936
0.05995 0.0011 16.9223
0.06105 0.0011 26.9481
0.06215 0.0011 29.8248
0.06325 0.0011 25.2801
0.06435 0.0011 27.1667
0.06545 0.0011 51.1975
0.06655 0.0011 76.4432
0.06765 0.0011 107.28
0.06875 0.0011 82.5779
0.06985 0.0011 98.5189
0.07095 0.0011 106.803
0.07205 0.0011 142.012
0.07315 0.0011 183.565
0.07425 0.0011 175.992
0.07535 0.0011 208.874
0.07645 0.0011 286.102
0.07755 0.0011 310.773
0.07865 0.0011 399.6
0.07975 0.0011 430.632
0.08085 0.0011 405.143
0.08195 0.0011 558.445
0.08305 0.0011 506.352
0.08415 0.0011 614.568
0.08525 0.0011 820.426
0.08635 0.0011 951.058
0.08745 0.0011 885.526
0.08855 0.0011 1030.49
0.08965 0.0011 1051.9
0.09075 0.0011 1123.54
0.09185 0.0011 999.317
0.09295 0.0011 1285.12
0.09405 0.0011 1499.88
0.09515 0.0011 1583
0.09625 0.0011 1696.08
0.09735 0.0011 1916.34
0.09845 0.0011 2093.01
0.09955 0.0011 1931.71
0.10065 0.0011 2032.01
0.10175 0.0011 2428.09
0.10285 0.0011 2528.3
0.10395 0.0011 2664.01
0.10505 0.0011 2831.01
0.10615 0.0011 2931.72
0.10725 0.0011 3200.81
0.10835 0.0011 3112.99
0.10945 0.0011 3195.61
0.11055 0.0011 3528.16
0.11165 0.0011 3747.88
0.11275 0.0011 3877.6
0.11385 0.0011 4012.84
0.11495 0.0011 4477.07
0.11605 0.0011 4504.15
0.11715 0.0011 4359.41
0.11825 0.0011 5157.77
0.11935 0.0011 4940.91
0.12045 0.0011 5003.66
0.12155 0.0011 5089.89
0.12265 0.0011 5660.96
0.12375 0.0011 5882.5
0.12485 0.0011 5780.44
0.12595 0.0011 5809.54
0.12705 0.0011 6160.54
0.12815 0.0011 6158
0.12925 0.0011 6677.06
0.13035 0.0011 6168.61
0.13145 0.0011 6942.54
0.13255 0.0011 6912.25
0.13365 0.0011 7278.98
0.13475 0.0011 6842.36
0.13585 0.0011 7768.31
0.13695 0.0011 7294.85
0.13805 0.0011 7153.3
0.13915 0.0011 7676.29
0.14025 0.0011 7500.15
0.14135 0.0011 8273.93
0.14245 0.0011 8834.7
0.14355 0.0011 8059.69
0.14465 0.0011 8208.13
0.14575 0.0011 7818.57
0.14685 0.0011 8040.83
0.14795 0.0011 8555.25
0.14905 0.0011 8992.54
0.15015 0.0011 8200.55
0.15125 0.0011 7969.84
0.15235 0.0011 8345.74
0.15345 0.0011 8772.75
0.15455 0.0011 9145.23
0.15565 0.0011 8958.34
0.15675 0.0011 8981.54
0.15785 0.0011 8921.88
0.15895 0.0011 9219.26
0.16005 0.0011 8685.13
0.16115 0.0011 8843.5
0.16225 0.0011 9459.71
0.16335 0.0011 9480.48
0.16445 0.0011 9221.48
0.16555 0.0011 9263.49
0.16665 0.0011 10021.5
0.16775 0.0011 9590.64
0.16885 0.0011 9559.3
0.16995 0.0011 9972.01
0.17105 0.0011 9773.56
0.17215 0.0011 10336.5
0.17325 0.0011 10476.2
0.17435 0.0011 10123.9
