# First line is two numbers 
#     First value is '2', it means 'histogram mode'
#     Second value is 'Emin' of the histogram
# Other lines : 2 columns. 1) energy 2) Bin Width 2) frequency (nb divided by NbEvent)
# Number of bins = 1000
# Content below the first bin: 0.126571
# Content above the last  bin: 0
# Number of events: 99994
2 0.01
0.010545 0.00109 0.0316053
0.011635 0.00109 0.0702219
0.012725 0.00109 0.0260628
0.013815 0.00109 0.0139367
0.014905 0.00109 0.0153799
0.015995 0.00109 0.0647102
0.017085 0.00109 0.154256
0.018175 0.00109 0.0358524
0.019265 0.00109 0.0378227
0.020355 0.00109 0.0811971
0.021445 0.00109 0.0635821
0.022535 0.00109 0.0904582
0.023625 0.00109 0.0475889
0.024715 0.00109 0.0979898
0.025805 0.00109 0.128272
0.026895 0.00109 0.0265221
0.027985 0.00109 0
0.029075 0.00109 0.116219
0.030165 0.00109 0.0909039
0.031255 0.00109 0.0331002
0.032345 0.00109 0.129129
0.033435 0.00109 0.0362427
0.034525 0.00109 0.140466
0.035615 0.00109 0.181753
0.036705 0.00109 0.149464
0.037795 0.00109 0.152786
0.038885 0.00109 0.157609
0.039975 0.00109 0.160544
0.041065 0.00109 0.205471
0.042155 0.00109 0.25481
0.043245 0.00109 0.160512
0.044335 0.00109 0.211848
0.045425 0.00109 0.278225
0.046515 0.00109 0.259617
0.047605 0.00109 0.218828
0.048695 0.00109 0.308291
0.049785 0.00109 0.250171
0.050875 0.00109 0.154032
0.051965 0.00109 0.149891
0.053055 0.00109 0.00384399
0.054145 0.00109 0.125664
0.055235 0.00109 0.0847535
0.056325 0.00109 0.153
0.057415 0.00109 0.166198
0.058505 0.00109 0.153868
0.059595 0.00109 0.202612
0.060685 0.00109 0.285677
0.061775 0.00109 0.352417
0.062865 0.00109 0.0442726
0.063955 0.00109 0.12858
0.065045 0.00109 0.179453
0.066135 0.00109 0.223478
0.067225 0.00109 0.251788
0.068315 0.00109 0.135867
0.069405 0.00109 0.417765
0.070495 0.00109 0.362424
0.071585 0.00109 0.263196
0.072675 0.00109 0.426186
0.073765 0.00109 0.472498
0.074855 0.00109 0.171003
0.075945 0.00109 0.143596
0.077035 0.00109 0.316548
0.078125 0.00109 0.299198
0.079215 0.00109 0.586182
0.080305 0.00109 0.259007
0.081395 0.00109 0.42358
0.082485 0.00109 0.572162
0.083575 0.00109 0.392127
0.084665 0.00109 0.463091
0.085755 0.00109 0.590094
0.086845 0.00109 1.42825
0.087935 0.00109 0.7638
0.089025 0.00109 0.738201
0.090115 0.00109 0.793571
0.091205 0.00109 0.834671
0.092295 0.00109 0.831856
0.093385 0.00109 1.07966
0.094475 0.00109 1.26744
0.095565 0.00109 1.07422
0.096655 0.00109 0.925058
0.097745 0.00109 1.05416
0.098835 0.00109 1.25324
0.099925 0.00109 1.88557
0.101015 0.00109 1.8191
0.102105 0.00109 1.11535
0.103195 0.00109 1.45987
0.104285 0.00109 1.6037
0.105375 0.00109 1.54011
0.106465 0.00109 1.33282
0.107555 0.00109 1.53382
0.108645 0.00109 2.25852
0.109735 0.00109 0.955447
0.110825 0.00109 1.41282
0.111915 0.00109 2.24331
0.113005 0.00109 1.3565
0.114095 0.00109 2.14787
0.115185 0.00109 1.5737
0.116275 0.00109 2.95794
0.117365 0.00109 1.79704
0.118455 0.00109 2.27887
0.119545 0.00109 2.24107
0.120635 0.00109 2.731
0.121725 0.00109 2.01312
0.122815 0.00109 1.80132
0.123905 0.00109 2.85742
0.124995 0.00109 2.51548
0.126085 0.00109 0.812939
0.127175 0.00109 2.68461
0.128265 0.00109 1.78489
0.129355 0.00109 2.12543
0.130445 0.00109 3.10917
0.131535 0.00109 1.96241
0.132625 0.00109 2.96783
0.133715 0.00109 1.34838
0.134805 0.00109 2.59058
0.135895 0.00109 2.7276
0.136985 0.00109 2.65062
0.138075 0.00109 2.94659
0.139165 0.00109 2.93649
0.140255 0.00109 1.73838
0.141345 0.00109 2.08542
0.142435 0.00109 2.44871
0.143525 0.00109 2.80104
0.144615 0.00109 1.60074
0.145705 0.00109 2.88872
0.146795 0.00109 2.40381
0.147885 0.00109 2.68618
0.148975 0.00109 2.34511
0.150065 0.00109 1.9777
0.151155 0.00109 2.80056
0.152245 0.00109 2.80428
0.153335 0.00109 2.55072
0.154425 0.00109 3.35574
0.155515 0.00109 2.10237
0.156605 0.00109 2.72583
0.157695 0.00109 2.64794
0.158785 0.00109 2.35965
0.159875 0.00109 1.83066
0.160965 0.00109 3.13659
0.162055 0.00109 2.98344
0.163145 0.00109 3.18599
0.164235 0.00109 2.07348
0.165325 0.00109 2.92419
0.166415 0.00109 2.76323
0.167505 0.00109 2.24164
0.168595 0.00109 2.80511
0.169685 0.00109 2.64598
0.170775 0.00109 1.9489
0.171865 0.00109 2.04168
0.172955 0.00109 3.54074
0.174045 0.00109 2.45578
0.175135 0.00109 1.99838
0.176225 0.00109 2.58072
0.177315 0.00109 2.7855
0.178405 0.00109 2.04429
0.179495 0.00109 2.35198
0.180585 0.00109 2.2365
0.181675 0.00109 2.34914
0.182765 0.00109 2.15093
0.183855 0.00109 2.58942
0.184945 0.00109 2.77782
0.186035 0.00109 2.37216
0.187125 0.00109 1.9686
0.188215 0.00109 2.30347
0.189305 0.00109 2.34232
0.190395 0.00109 2.48174
0.191485 0.00109 3.67204
0.192575 0.00109 1.96185
0.193665 0.00109 2.2891
0.194755 0.00109 2.27062
0.195845 0.00109 3.702
0.196935 0.00109 2.32613
0.198025 0.00109 2.63006
0.199115 0.00109 2.93199
0.200205 0.00109 1.97557
0.201295 0.00109 2.25128
0.202385 0.00109 3.66573
0.203475 0.00109 3.3459
0.204565 0.00109 2.49884
0.205655 0.00109 1.84317
0.206745 0.00109 4.35659
0.207835 0.00109 2.80044
0.208925 0.00109 2.96942
0.210015 0.00109 3.89204
0.211105 0.00109 3.66787
0.212195 0.00109 1.54984
0.213285 0.00109 3.84129
0.214375 0.00109 4.0173
0.215465 0.00109 3.77516
0.216555 0.00109 3.77978
0.217645 0.00109 3.08557
0.218735 0.00109 2.35719
0.219825 0.00109 3.35915
0.220915 0.00109 2.29829
0.222005 0.00109 2.37718
0.223095 0.00109 2.43213
0.224185 0.00109 4.36754
0.225275 0.00109 2.55627
0.226365 0.00109 2.92218
0.227455 0.00109 2.22979
0.228545 0.00109 2.8721
0.229635 0.00109 2.05947
0.230725 0.00109 3.09427
0.231815 0.00109 2.77715
0.232905 0.00109 2.24443
0.233995 0.00109 1.94195
0.235085 0.00109 2.28137
0.236175 0.00109 2.90436
0.237265 0.00109 3.90449
0.238355 0.00109 2.16401
0.239445 0.00109 2.76364
0.240535 0.00109 2.65884
0.241625 0.00109 2.60308
0.242715 0.00109 2.65429
0.243805 0.00109 3.04842
0.244895 0.00109 3.10758
0.245985 0.00109 2.81165
0.247075 0.00109 1.16515
0.248165 0.00109 1.97164
0.249255 0.00109 1.84891
0.250345 0.00109 1.95036
0.251435 0.00109 3.57483
0.252525 0.00109 2.03683
0.253615 0.00109 2.88569
0.254705 0.00109 3.17267
0.255795 0.00109 1.9444
0.256885 0.00109 2.54645
0.257975 0.00109 2.62553
0.259065 0.00109 3.17456
0.260155 0.00109 2.15416
0.261245 0.00109 3.25874
0.262335 0.00109 2.72328
0.263425 0.00109 3.40015
0.264515 0.00109 1.87711
0.265605 0.00109 1.8337
0.266695 0.00109 2.92516
0.267785 0.00109 3.05221
0.268875 0.00109 1.2852
0.269965 0.00109 3.87867
0.271055 0.00109 2.03304
0.272145 0.00109 3.54535
0.273235 0.00109 2.03644
0.274325 0.00109 1.27937
0.275415 0.00109 1.65074
0.276505 0.00109 2.44047
0.277595 0.00109 1.94371
0.278685 0.00109 2.32933
0.279775 0.00109 2.13638
0.280865 0.00109 2.63249
0.281955 0.00109 1.59138
0.283045 0.00109 2.74232
0.284135 0.00109 1.73996
0.285225 0.00109 2.85279
0.286315 0.00109 1.96668
0.287405 0.00109 1.41128
0.288495 0.00109 2.65045
0.289585 0.00109 2.16405
0.290675 0.00109 1.95737
0.291765 0.00109 2.08297
0.292855 0.00109 1.25819
0.293945 0.00109 2.15919
0.295035 0.00109 2.58487
0.296125 0.00109 1.6714
0.297215 0.00109 1.81669
0.298305 0.00109 2.20735
0.299395 0.00109 2.38213
0.300485 0.00109 1.63411
0.301575 0.00109 1.02105
0.302665 0.00109 2.62724
0.303755 0.00109 2.18106
0.304845 0.00109 2.12889
0.305935 0.00109 1.78091
0.307025 0.00109 1.66798
0.308115 0.00109 2.4045
0.309205 0.00109 1.1824
0.310295 0.00109 1.63434
0.311385 0.00109 1.89016
0.312475 0.00109 2.01379
0.313565 0.00109 1.33155
0.314655 0.00109 2.25212
0.315745 0.00109 1.60183
0.316835 0.00109 1.89888
0.317925 0.00109 3.35933
0.319015 0.00109 1.48457
0.320105 0.00109 2.0652
0.321195 0.00109 1.37036
0.322285 0.00109 1.29003
0.323375 0.00109 2.09077
0.324465 0.00109 2.67688
0.325555 0.00109 1.5827
0.326645 0.00109 1.96838
0.327735 0.00109 1.49733
0.328825 0.00109 2.24848
0.329915 0.00109 1.72723
0.331005 0.00109 2.78046
0.332095 0.00109 1.90994
0.333185 0.00109 2.10602
0.334275 0.00109 1.01204
0.335365 0.00109 3.25029
0.336455 0.00109 1.06349
0.337545 0.00109 2.05491
0.338635 0.00109 1.52561
0.339725 0.00109 1.4344
0.340815 0.00109 1.95117
0.341905 0.00109 1.48689
0.342995 0.00109 1.10712
0.344085 0.00109 1.46584
0.345175 0.00109 2.6769
0.346265 0.00109 2.95748
0.347355 0.00109 1.88451
0.348445 0.00109 1.53254
0.349535 0.00109 0.919397
0.350625 0.00109 2.52939
0.351715 0.00109 2.66173
0.352805 0.00109 1.56418
0.353895 0.00109 2.43859
0.354985 0.00109 1.39051
0.356075 0.00109 1.82368
0.357165 0.00109 1.49872
0.358255 0.00109 1.18636
0.359345 0.00109 1.88229
0.360435 0.00109 2.71926
0.361525 0.00109 1.13989
0.362615 0.00109 1.05579
0.363705 0.00109 1.26175
0.364795 0.00109 3.49466
0.365885 0.00109 1.54264
0.366975 0.00109 0.284229
0.368065 0.00109 1.74822
0.369155 0.00109 2.5021
0.370245 0.00109 2.14132
0.371335 0.00109 1.75662
0.372425 0.00109 2.7195
0.373515 0.00109 1.13291
0.374605 0.00109 1.67706
0.375695 0.00109 1.1805
0.376785 0.00109 1.77741
0.377875 0.00109 0.995801
0.378965 0.00109 2.19076
0.380055 0.00109 1.59336
0.381145 0.00109 1.00766
0.382235 0.00109 1.74292
0.383325 0.00109 1.11005
0.384415 0.00109 1.69527
0.385505 0.00109 1.79612
0.386595 0.00109 1.81947
0.387685 0.00109 1.04339
0.388775 0.00109 1.09234
0.389865 0.00109 1.75114
0.390955 0.00109 1.59379
0.392045 0.00109 1.86954
0.393135 0.00109 1.10939
0.394225 0.00109 0.730783
0.395315 0.00109 2.66149
0.396405 0.00109 1.40893
0.397495 0.00109 1.32411
0.398585 0.00109 2.8309
0.399675 0.00109 2.44192
0.400765 0.00109 1.5366
0.401855 0.00109 1.10527
0.402945 0.00109 3.00592
0.404035 0.00109 1.13311
0.405125 0.00109 1.81375
0.406215 0.00109 2.55579
0.407305 0.00109 0.690957
0.408395 0.00109 0.708211
0.409485 0.00109 1.26385
0.410575 0.00109 2.07841
0.411665 0.00109 1.22926
0.412755 0.00109 1.76022
0.413845 0.00109 1.93729
0.414935 0.00109 1.68933
0.416025 0.00109 1.47928
0.417115 0.00109 1.59746
0.418205 0.00109 1.38963
0.419295 0.00109 1.01918
0.420385 0.00109 1.29097
0.421475 0.00109 1.62775
0.422565 0.00109 2.33467
0.423655 0.00109 2.65633
0.424745 0.00109 0.710184
0.425835 0.00109 1.35587
0.426925 0.00109 2.25862
0.428015 0.00109 2.17396
0.429105 0.00109 2.48957
0.430195 0.00109 1.5213
0.431285 0.00109 1.94686
0.432375 0.00109 1.38764
0.433465 0.00109 1.5257
0.434555 0.00109 1.54084
0.435645 0.00109 1.71638
0.436735 0.00109 1.37501
0.437825 0.00109 1.31884
0.438915 0.00109 1.90637
0.440005 0.00109 0.885514
0.441095 0.00109 1.18901
0.442185 0.00109 1.23876
0.443275 0.00109 0.903175
0.444365 0.00109 1.37835
0.445455 0.00109 1.84342
0.446545 0.00109 1.13791
0.447635 0.00109 1.12383
0.448725 0.00109 0.802353
0.449815 0.00109 0.544962
0.450905 0.00109 0.685412
0.451995 0.00109 1.22729
0.453085 0.00109 1.04171
0.454175 0.00109 2.32069
0.455265 0.00109 0.715563
0.456355 0.00109 1.753
0.457445 0.00109 1.10415
0.458535 0.00109 2.01082
0.459625 0.00109 1.3986
0.460715 0.00109 0.804108
0.461805 0.00109 1.47329
0.462895 0.00109 1.54667
0.463985 0.00109 0.503984
0.465075 0.00109 1.42773
0.466165 0.00109 1.86165
0.467255 0.00109 1.80742
0.468345 0.00109 1.24825
0.469435 0.00109 1.45974
0.470525 0.00109 1.27736
0.471615 0.00109 1.64011
0.472705 0.00109 1.16239
0.473795 0.00109 0.631608
0.474885 0.00109 1.41465
0.475975 0.00109 2.64001
0.477065 0.00109 2.2628
0.478155 0.00109 1.10745
0.479245 0.00109 1.50483
0.480335 0.00109 0.594427
0.481425 0.00109 0.538658
0.482515 0.00109 0.668254
0.483605 0.00109 0.681076
0.484695 0.00109 1.23722
0.485785 0.00109 0.829891
0.486875 0.00109 0.926821
0.487965 0.00109 1.20526
0.489055 0.00109 2.38407
0.490145 0.00109 1.9591
0.491235 0.00109 0.969323
0.492325 0.00109 1.05163
0.493415 0.00109 2.0182
0.494505 0.00109 1.55204
0.495595 0.00109 1.88724
0.496685 0.00109 1.04077
0.497775 0.00109 1.12558
0.498865 0.00109 1.52653
0.499955 0.00109 1.10564
0.501045 0.00109 1.43906
0.502135 0.00109 0.335921
0.503225 0.00109 0.942101
0.504315 0.00109 1.08258
0.505405 0.00109 1.58191
0.506495 0.00109 1.3872
0.507585 0.00109 2.11766
0.508675 0.00109 1.26473
0.509765 0.00109 1.18325
0.510855 0.00109 0.814072
0.511945 0.00109 1.53604
0.513035 0.00109 1.21777
0.514125 0.00109 1.03442
0.515215 0.00109 1.79698
0.516305 0.00109 1.11192
0.517395 0.00109 1.21774
0.518485 0.00109 1.59945
0.519575 0.00109 2.76053
0.520665 0.00109 2.24383
0.521755 0.00109 0.833721
0.522845 0.00109 2.26474
0.523935 0.00109 0.921062
0.525025 0.00109 0.956134
0.526115 0.00109 1.03457
0.527205 0.00109 1.23812
0.528295 0.00109 0.992595
0.529385 0.00109 2.07194
0.530475 0.00109 0.722544
0.531565 0.00109 1.22076
0.532655 0.00109 1.28935
0.533745 0.00109 1.70257
0.534835 0.00109 1.00259
0.535925 0.00109 1.13236
0.537015 0.00109 1.13396
0.538105 0.00109 1.88499
0.539195 0.00109 2.02802
0.540285 0.00109 1.24722
0.541375 0.00109 1.00117
0.542465 0.00109 0.870878
0.543555 0.00109 1.71984
0.544645 0.00109 1.62437
0.545735 0.00109 3.53006
0.546825 0.00109 0.773155
0.547915 0.00109 0.508919
0.549005 0.00109 1.40627
0.550095 0.00109 1.46186
0.551185 0.00109 0.960522
0.552275 0.00109 1.24988
0.553365 0.00109 1.20816
0.554455 0.00109 1.5695
0.555545 0.00109 2.15302
0.556635 0.00109 1.44205
0.557725 0.00109 1.29892
0.558815 0.00109 1.91733
0.559905 0.00109 2.44298
0.560995 0.00109 1.71954
0.562085 0.00109 1.4135
0.563175 0.00109 0.727073
0.564265 0.00109 1.15549
0.565355 0.00109 0.730485
0.566445 0.00109 2.16794
0.567535 0.00109 0.865494
0.568625 0.00109 1.95622
0.569715 0.00109 0.121804
0.570805 0.00109 1.87433
0.571895 0.00109 1.44303
0.572985 0.00109 1.0984
0.574075 0.00109 0.164998
0.575165 0.00109 0.772902
0.576255 0.00109 1.94132
0.577345 0.00109 1.11854
0.578435 0.00109 1.84957
0.579525 0.00109 2.15615
0.580615 0.00109 2.79682
0.581705 0.00109 0.485636
0.582795 0.00109 1.5755
0.583885 0.00109 0.522844
0.584975 0.00109 2.12197
0.586065 0.00109 2.03017
0.587155 0.00109 1.05392
0.588245 0.00109 2.81247
0.589335 0.00109 1.98796
0.590425 0.00109 2.46498
0.591515 0.00109 0.441547
0.592605 0.00109 1.57651
0.593695 0.00109 0.850287
0.594785 0.00109 2.43988
0.595875 0.00109 0.777951
0.596965 0.00109 2.3883
0.598055 0.00109 2.28827
0.599145 0.00109 0.871893
0.600235 0.00109 0.803585
0.601325 0.00109 1.7139
0.602415 0.00109 2.4866
0.603505 0.00109 2.30605
0.604595 0.00109 1.21433
0.605685 0.00109 1.8576
0.606775 0.00109 2.89979
0.607865 0.00109 2.00587
0.608955 0.00109 1.55208
0.610045 0.00109 0.473636
0.611135 0.00109 0.914248
0.612225 0.00109 0.646082
0.613315 0.00109 0.329408
0.614405 0.00109 1.96346
0.615495 0.00109 0.312511
0.616585 0.00109 1.3184
0.617675 0.00109 0.643442
0.618765 0.00109 1.36373
0.619855 0.00109 0.723994
0.620945 0.00109 1.14416
0.622035 0.00109 1.07999
0.623125 0.00109 1.18963
0.624215 0.00109 1.2418
0.625305 0.00109 1.35539
0.626395 0.00109 2.06514
0.627485 0.00109 1.51484
0.628575 0.00109 0.573869
0.629665 0.00109 1.2244
0.630755 0.00109 2.26343
0.631845 0.00109 1.94967
0.632935 0.00109 0.948936
0.634025 0.00109 1.09688
0.635115 0.00109 1.6262
0.636205 0.00109 3.14264
0.637295 0.00109 1.04427
0.638385 0.00109 1.73343
0.639475 0.00109 3.06303
0.640565 0.00109 0.952693
0.641655 0.00109 0.956275
0.642745 0.00109 1.31807
0.643835 0.00109 1.18358
0.644925 0.00109 0.818038
0.646015 0.00109 1.54852
0.647105 0.00109 0.831227
0.648195 0.00109 0.331089
0.649285 0.00109 1.96108
0.650375 0.00109 1.74584
0.651465 0.00109 0.803822
0.652555 0.00109 2.27978
0.653645 0.00109 1.84036
0.654735 0.00109 2.45292
0.655825 0.00109 2.16932
0.656915 0.00109 1.49222
0.658005 0.00109 2.09469
0.659095 0.00109 1.35588
0.660185 0.00109 0.883993
0.661275 0.00109 0.283126
0.662365 0.00109 2.00649
0.663455 0.00109 0.835544
0.664545 0.00109 2.40674
0.665635 0.00109 1.42178
0.666725 0.00109 0.822738
0.667815 0.00109 1.02439
0.668905 0.00109 1.19622
0.669995 0.00109 0.5222
0.671085 0.00109 0.295112
0.672175 0.00109 3.34553
0.673265 0.00109 2.99608
0.674355 0.00109 2.33789
0.675445 0.00109 2.59566
0.676535 0.00109 1.65733
0.677625 0.00109 1.26636
0.678715 0.00109 2.16994
0.679805 0.00109 2.11615
0.680895 0.00109 0.685157
0.681985 0.00109 0.483451
0.683075 0.00109 1.99435
0.684165 0.00109 0.98752
0.685255 0.00109 1.40985
0.686345 0.00109 1.73963
0.687435 0.00109 1.5194
0.688525 0.00109 3.17428
0.689615 0.00109 1.37593
0.690705 0.00109 2.28835
0.691795 0.00109 2.78769
0.692885 0.00109 1.00607
0.693975 0.00109 2.08282
0.695065 0.00109 1.90855
0.696155 0.00109 0.507019
0.697245 0.00109 1.0003
0.698335 0.00109 1.60089
0.699425 0.00109 1.625
0.700515 0.00109 1.46164
0.701605 0.00109 1.05734
0.702695 0.00109 0.660989
0.703785 0.00109 0.45819
0.704875 0.00109 1.94654
0.705965 0.00109 2.88435
0.707055 0.00109 2.57511
0.708145 0.00109 1.7716
0.709235 0.00109 1.64205
0.710325 0.00109 2.81202
0.711415 0.00109 1.56302
0.712505 0.00109 0.345268
0.713595 0.00109 3.17554
0.714685 0.00109 0.733574
0.715775 0.00109 1.11626
0.716865 0.00109 1.97499
0.717955 0.00109 1.63941
0.719045 0.00109 1.92234
0.720135 0.00109 0.495321
0.721225 0.00109 0.255945
0.722315 0.00109 1.88331
0.723405 0.00109 0.487133
0.724495 0.00109 1.86981
0.725585 0.00109 1.54484
0.726675 0.00109 0.0770426
0.727765 0.00109 2.59312
0.728855 0.00109 2.05646
0.729945 0.00109 0.987862
0.731035 0.00109 3.14353
0.732125 0.00109 2.07027
0.733215 0.00109 1.91919
0.734305 0.00109 0.329328
0.735395 0.00109 0.407702
0.736485 0.00109 0.496248
0.737575 0.00109 1.23745
0.738665 0.00109 2.32345
0.739755 0.00109 1.92885
0.740845 0.00109 1.02566
0.741935 0.00109 0.741736
0.743025 0.00109 2.23887
0.744115 0.00109 1.86765
0.745205 0.00109 0.759372
0.746295 0.00109 2.4338
0.747385 0.00109 1.85328
0.748475 0.00109 1.9336
0.749565 0.00109 1.97827
0.750655 0.00109 0.766771
0.751745 0.00109 1.76604
0.752835 0.00109 2.22091
0.753925 0.00109 0.912639
0.755015 0.00109 0.69832
0.756105 0.00109 0.530746
0.757195 0.00109 1.42262
0.758285 0.00109 1.85771
0.759375 0.00109 1.72112
0.760465 0.00109 1.16865
0.761555 0.00109 1.61017
0.762645 0.00109 1.50625
0.763735 0.00109 1.64326
0.764825 0.00109 1.98155
0.765915 0.00109 2.01169
0.767005 0.00109 3.08762
0.768095 0.00109 1.30798
0.769185 0.00109 1.175
0.770275 0.00109 1.76102
0.771365 0.00109 3.20068
0.772455 0.00109 0.659153
0.773545 0.00109 2.19839
0.774635 0.00109 2.50643
0.775725 0.00109 2.30168
0.776815 0.00109 0.262812
0.777905 0.00109 0.832347
0.778995 0.00109 3.05132
0.780085 0.00109 2.89292
0.781175 0.00109 1.83742
0.782265 0.00109 1.22697
0.783355 0.00109 1.32885
0.784445 0.00109 1.10475
0.785535 0.00109 1.60054
0.786625 0.00109 1.10365
0.787715 0.00109 0.866642
0.788805 0.00109 1.61005
0.789895 0.00109 1.94706
0.790985 0.00109 1.95783
0.792075 0.00109 1.72327
0.793165 0.00109 3.01483
0.794255 0.00109 3.39303
0.795345 0.00109 1.84435
0.796435 0.00109 2.07502
0.797525 0.00109 1.82847
0.798615 0.00109 1.38903
0.799705 0.00109 1.08548
0.800795 0.00109 0.396265
0.801885 0.00109 3.06365
0.802975 0.00109 1.70564
0.804065 0.00109 1.2363
0.805155 0.00109 2.7023
0.806245 0.00109 0.555601
0.807335 0.00109 1.70086
0.808425 0.00109 1.2995
0.809515 0.00109 1.19551
0.810605 0.00109 2.03401
0.811695 0.00109 0.414162
0.812785 0.00109 1.62003
0.813875 0.00109 2.64298
0.814965 0.00109 1.69744
0.816055 0.00109 1.65606
0.817145 0.00109 0.933734
0.818235 0.00109 1.6961
0.819325 0.00109 1.129
0.820415 0.00109 2.9345
0.821505 0.00109 0.688572
0.822595 0.00109 1.47472
0.823685 0.00109 2.4449
0.824775 0.00109 1.08995
0.825865 0.00109 1.80442
0.826955 0.00109 2.82988
0.828045 0.00109 1.53963
0.829135 0.00109 1.70057
0.830225 0.00109 1.56995
0.831315 0.00109 3.90869
0.832405 0.00109 1.68081
0.833495 0.00109 2.1845
0.834585 0.00109 1.85728
0.835675 0.00109 1.27219
0.836765 0.00109 1.5263
0.837855 0.00109 2.80581
0.838945 0.00109 0.539964
0.840035 0.00109 0.960422
0.841125 0.00109 0.780817
0.842215 0.00109 3.3177
0.843305 0.00109 0.41071
0.844395 0.00109 0
0.845485 0.00109 2.89152
0.846575 0.00109 1.19314
0.847665 0.00109 3.3133
0.848755 0.00109 1.41559
0.849845 0.00109 1.45131
0.850935 0.00109 1.63271
0.852025 0.00109 1.95909
0.853115 0.00109 1.04125
0.854205 0.00109 0.848515
0.855295 0.00109 1.35664
0.856385 0.00109 1.52694
0.857475 0.00109 1.25169
0.858565 0.00109 1.76073
0.859655 0.00109 0.838547
0.860745 0.00109 2.41373
0.861835 0.00109 1.71458
0.862925 0.00109 1.90109
0.864015 0.00109 2.23787
0.865105 0.00109 1.15182
0.866195 0.00109 0.971624
0.867285 0.00109 2.42707
0.868375 0.00109 1.75009
0.869465 0.00109 0.695498
0.870555 0.00109 1.01527
0.871645 0.00109 2.35102
0.872735 0.00109 2.12511
0.873825 0.00109 1.08196
0.874915 0.00109 1.05313
0.876005 0.00109 1.94758
0.877095 0.00109 3.26437
0.878185 0.00109 2.10692
0.879275 0.00109 0.639187
0.880365 0.00109 2.37518
0.881455 0.00109 1.07647
0.882545 0.00109 2.1857
0.883635 0.00109 2.12471
0.884725 0.00109 1.69137
0.885815 0.00109 0.939752
0.886905 0.00109 1.58925
0.887995 0.00109 2.17873
0.889085 0.00109 1.36302
0.890175 0.00109 2.13405
0.891265 0.00109 1.11598
0.892355 0.00109 2.88693
0.893445 0.00109 1.89615
0.894535 0.00109 2.50131
0.895625 0.00109 0.465477
0.896715 0.00109 2.27783
0.897805 0.00109 3.21611
0.898895 0.00109 0.631765
0.899985 0.00109 0.305736
0.901075 0.00109 1.86719
0.902165 0.00109 3.43767
0.903255 0.00109 1.89097
0.904345 0.00109 0.0883154
0.905435 0.00109 0.724899
0.906525 0.00109 0.741603
0.907615 0.00109 1.31839
0.908705 0.00109 1.26923
0.909795 0.00109 1.94368
0.910885 0.00109 2.54409
0.911975 0.00109 3.17632
0.913065 0.00109 2.8357
0.914155 0.00109 2.73855
0.915245 0.00109 2.07561
0.916335 0.00109 1.28074
