# First line is two numbers 
#     First value is '2', it means 'histogram mode'
#     Second value is 'Emin' of the histogram
# Other lines : 2 columns. 1) energy 2) Bin Width 2) frequency (nb divided by NbEvent)
# Number of bins = 1000
# Content below the first bin: 47
# Content above the last  bin: 0
# Number of events: 99994
2 0.01
0.010545 0.00109 4
0.011635 0.00109 7
0.012725 0.00109 3
0.013815 0.00109 11
0.014905 0.00109 2
0.015995 0.00109 7
0.017085 0.00109 8
0.018175 0.00109 13
0.019265 0.00109 8
0.020355 0.00109 6
0.021445 0.00109 5
0.022535 0.00109 10
0.023625 0.00109 5
0.024715 0.00109 7
0.025805 0.00109 11
0.026895 0.00109 9
0.027985 0.00109 4
0.029075 0.00109 6
0.030165 0.00109 7
0.031255 0.00109 8
0.032345 0.00109 4
0.033435 0.00109 3
0.034525 0.00109 4
0.035615 0.00109 8
0.036705 0.00109 8
0.037795 0.00109 4
0.038885 0.00109 8
0.039975 0.00109 11
0.041065 0.00109 7
0.042155 0.00109 4
0.043245 0.00109 5
0.044335 0.00109 5
0.045425 0.00109 5
0.046515 0.00109 8
0.047605 0.00109 4
0.048695 0.00109 6
0.049785 0.00109 14
0.050875 0.00109 6
0.051965 0.00109 5
0.053055 0.00109 3
0.054145 0.00109 3
0.055235 0.00109 6
0.056325 0.00109 8
0.057415 0.00109 4
0.058505 0.00109 8
0.059595 0.00109 7
0.060685 0.00109 6
0.061775 0.00109 6
0.062865 0.00109 6
0.063955 0.00109 5
0.065045 0.00109 0
0.066135 0.00109 4
0.067225 0.00109 5
0.068315 0.00109 6
0.069405 0.00109 5
0.070495 0.00109 5
0.071585 0.00109 4
0.072675 0.00109 7
0.073765 0.00109 12
0.074855 0.00109 6
0.075945 0.00109 5
0.077035 0.00109 7
0.078125 0.00109 4
0.079215 0.00109 6
0.080305 0.00109 10
0.081395 0.00109 6
0.082485 0.00109 7
0.083575 0.00109 3
0.084665 0.00109 5
0.085755 0.00109 4
0.086845 0.00109 5
0.087935 0.00109 3
0.089025 0.00109 4
0.090115 0.00109 7
0.091205 0.00109 7
0.092295 0.00109 11
0.093385 0.00109 8
0.094475 0.00109 9
0.095565 0.00109 5
0.096655 0.00109 4
0.097745 0.00109 10
0.098835 0.00109 9
0.099925 0.00109 11
0.101015 0.00109 9
0.102105 0.00109 8
0.103195 0.00109 9
0.104285 0.00109 6
0.105375 0.00109 7
0.106465 0.00109 9
0.107555 0.00109 7
0.108645 0.00109 3
0.109735 0.00109 6
0.110825 0.00109 10
0.111915 0.00109 4
0.113005 0.00109 2
0.114095 0.00109 7
0.115185 0.00109 9
0.116275 0.00109 4
0.117365 0.00109 5
0.118455 0.00109 12
0.119545 0.00109 4
0.120635 0.00109 6
0.121725 0.00109 4
0.122815 0.00109 3
0.123905 0.00109 7
0.124995 0.00109 6
0.126085 0.00109 10
0.127175 0.00109 8
0.128265 0.00109 9
0.129355 0.00109 6
0.130445 0.00109 9
0.131535 0.00109 5
0.132625 0.00109 6
0.133715 0.00109 8
0.134805 0.00109 0
0.135895 0.00109 3
0.136985 0.00109 9
0.138075 0.00109 6
0.139165 0.00109 7
0.140255 0.00109 6
0.141345 0.00109 9
0.142435 0.00109 3
0.143525 0.00109 9
0.144615 0.00109 5
0.145705 0.00109 6
0.146795 0.00109 4
0.147885 0.00109 3
0.148975 0.00109 9
0.150065 0.00109 5
0.151155 0.00109 6
0.152245 0.00109 5
0.153335 0.00109 4
0.154425 0.00109 9
0.155515 0.00109 8
0.156605 0.00109 6
0.157695 0.00109 7
0.158785 0.00109 6
0.159875 0.00109 7
0.160965 0.00109 8
0.162055 0.00109 6
0.163145 0.00109 5
0.164235 0.00109 11
0.165325 0.00109 11
0.166415 0.00109 6
0.167505 0.00109 4
0.168595 0.00109 3
0.169685 0.00109 7
0.170775 0.00109 11
0.171865 0.00109 6
0.172955 0.00109 7
0.174045 0.00109 7
0.175135 0.00109 9
